	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
g2m8mpdol	CC0026	g2m8mpdol	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C192H316N2O72P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10599 in KEGG nomenclature	g2m8mpdol_L,g2m8mpdol_U	
dhnpt	C04874	dhnpt	Dihydroneopterin	C9H13N5O4	0.0	BiGG compound	dhnpt	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine, 7,8-Dihydroneopterin
dcmp	C00239	dcmp	dCMP	C9H12N3O7P	-2.0	BiGG compound	dcmp	Deoxycytidylic acid, Deoxycytidine monophosphate, Deoxycytidylate, 2'-Deoxycytidine 5'-monophosphate
34dhpha	C01161	34dhpha	3-4-Dihydroxyphenylacetate	C8H7O4	-1.0	BiGG compound		3,4-Dihydroxyphenylacetate, 3,4-Dihydroxyphenylacetic acid, Homoprotocatechuate
prpp	C00119	prpp	5-Phospho-alpha-D-ribose 1-diphosphate	C5H8O14P3	-5.0	BiGG compound	prpp	5-Phosphoribosyl diphosphate, 5-Phosphoribosyl 1-pyrophosphate, PRPP
adhap	C03372	adhap	1-Acyl-glycerone 3-phosphate	C21.5654H35.5778O7.0P1.0	-2.0	charge based on human version in BiGG	1agly3p_SC	Acylglycerone phosphate, Dihydroxyacetone phosphate acyl ester
nbglycogen	CC0045	nbglycogen	non-branching glycogen	C6H10O5	0.0	"glycogen" in BIGG nomenclature		
andrstrn	C00523	andrstrn	Androsterone	C19H30O2	0.0	BiGG compound	andrstrn	3alpha-Hydroxy-5alpha-androstan-17-one
nm4masn	CC0033	nm4masn	(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C58.0H97.0N5.0O43.0	-0.0	designated as G00013 in KEGG nomenclature	nm4masn	
hdca	C00249	hdca	Hexadecanoate (n-C16:0)	C16H31O2	-1.0	BiGG compound	hdca	Hexadecanoic acid, Hexadecanoate, Hexadecylic acid, Palmitic acid, Palmitate, Cetylic acid
nformanth	C05653	nformanth	N-Formylanthranilate	C8H6NO3	-1.0	BiGG compound	nformanth	Formylanthranilate, 2-(Formylamino)-benzoic acid
phospholipid_BAC	CC0142	phospholipid_BAC	phospholipid component of E. coli diet	C40.2301H77.5825N0.7702O8.85P1.05	-0.3	charge does not matter		
mi3p-D	C04006	mi3p-D	1D-myo-Inositol 3-phosphate	C6H11O9P	-2.0	BiGG compound	mi3p-D	D-myo-Inositol 3-phosphate, myo-Inositol 3-phosphate, Inositol 3-phosphate, 1D-myo-Inositol 3-monophosphate, D-myo-Inositol 3-monophosphate, myo-Inositol 3-monophosphate, Inositol 3-monophosphate, 1L-myo-Inositol 1-phosphate, L-myo-Inositol 1-phosphate
fadh2	C01352	fadh2	Flavin adenine dinucleotide reduced	C27H33N9O15P2	-2.0	BiGG compound	fadh2	FADH2
34dhpac	C04043	34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	0.0	BiGG compound		Protocatechuatealdehyde
oc2coa	C05276	oc2coa	trans-Oct-2-enoyl-CoA	C29H44N7O17P3S	-4.0	BiGG compound	oc2coa	(2E)-Octenoyl-CoA
3hmp	C06001	3hmp	3-Hydroxy-2-methylpropanoate	C4H7O3	-1.0	BiGG compound	3hmp	(S)-3-Hydroxyisobutyrate
3npdhb	CC0006	3npdhb	3-nonaprenyl-4,5-dihydroxybenzoate	C52H77O4	-1.0	charge based on 3dpdhb in BIGG		
aacoa	C00332	aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4.0	BiGG compound	aacoa	Acetoacetyl coenzyme A, 3-Acetoacetyl-CoA
2mp2coa	C03460	2mp2coa	2-Methylprop-2-enoyl-CoA	C25H36N7O17P3S	-4.0	BiGG compound	2mp2coa	Methacrylyl-CoA, Methylacrylyl-CoA
mhista	C05127	mhista	N-Methylhistamine	C6H12N3	1.0	BiGG compound	mhista	1-Methylhistamine, 1-Methyl-4-(2-aminoethyl)imidazole, Ntau-Methylhistamine
3aib	C03284	3aib	L-3-Amino-isobutanoate	C4H9NO2	0.0	BiGG compound	3aib	(S)-3-Amino-isobutyrate, L-3-Amino-isobutyrate, (S)-3-Amino-isobutanoate, (S)-3-Amino-2-methylpropanoate
Naclys	C01997	Naclys	Histone N6-acetyl-L-lysine	XC8H14N2O2	0.0	formula and charge based on MetaCyc		Acetylhistone
psduri	C02067	psduri	Pseudouridine	C9H12N2O6	0.0	charge based on DBET, which is accurate for psd5p, a similar compound taking place in the same reaction		
ipdp	C00129	ipdp	Isopentenyl diphosphate	C5H9O7P2	-3.0	BiGG compound	ipdp	delta3-Isopentenyl diphosphate, delta3-Methyl-3-butenyl diphosphate
h	C00080	h	H+	H	1.0	BiGG compound	h	Hydron, Proton
m15hxdcal	CC0209	m15hxdcal	15-methylhexadecanal	C17H34O	0.0	charge based on hexadecanal in BiGG		
forglu	C00439	forglu	N-Formimidoyl-L-glutamate	C6H8N2O4	-2.0	BiGG compound	forglu	N-Formimino-L-glutamate
quln	C03722	quln	Quinolinate	C7H3NO4	-2.0	BiGG compound	quln	Pyridine-2,3-dicarboxylate, Quinolinic acid, 2,3-Pyridinedicarboxylic acid
orot5p	C01103	orot5p	Orotidine 5'-phosphate	C10H10N2O11P	-3.0	BiGG compound	orot5p	Orotidylic acid
fa17c9crn	CC0111	fa17c9crn	cis-9,10-methylenehexadecanoyl carnitine	C24H45NO4	0.0	charge and formula based on other acyl carnitines		
pepasp_acgamam	C04375	pepasp_acgamam	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine	XC12O7N3H19	0.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		4-N-(N-Acetyl-D-glucosaminyl)-protein
mmcoa-S	C00683	mmcoa-S	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	-5.0	BiGG compound	mmcoa-S	(S)-Methylmalonyl-coenzyme A, (2S)-Methylmalonyl-CoA, D-Methylmalonyl-CoA
mmcoa-R	C01213	mmcoa-R	(R)-Methylmalonyl-CoA	C25H35N7O19P3S	-5.0	BiGG compound	mmcoa-R	L-Methylmalonyl-CoA
4tmeabut	C01149	4tmeabut	4-Trimethylammoniobutanal	C7H16NO	1.0	BiGG compound	4tmeabut	
fa27p0coa	CC0172	fa27p0coa	C27:0-coA	C48H84N7O17P3S	-4.0	charge is based on similar metabolites		
caphis	C04441	caphis	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine	C11H15N5O4R2	0.0	formula based on KEGG, charge based on BIGG and MetaCyc		2-(3-Carboxy-3-aminopropyl)-L-histidine, EF-2 2-(3-carboxy-3-aminopropyl)-L-histidine, 2-[(3S)-3-Amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2]
f26bp	C00665	f26bp	"D-Fructose 2,6-bisphosphate"	C6H10O12P2	-4.0	BiGG compound	f26bp	beta-D-Fructose 2,6-bisphosphate, D-Fructose 2,6-bisphosphate
Rtotal_BAC	CC0076	Rtotal_BAC	R total from bacterial diet	C16.5855H31.1436O2.0	-1.0	charge is obvious based on general rules and similar compounds		
protSgerC	CC0017	protSgerC	Protein C-terminal S-geranylgeranyl-L-cysteine 	C25H41N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
trypta	C00398	trypta	Tryptamine	C10H13N2	1.0	BiGG compound	trypta	3-(2-Aminoethyl)indole
xylt	C00379	xylt	Xylitol	C5H12O5	0.0	BiGG compound	xylt	
biomass_minor	CC0156	biomass_minor	Minor components of biomass	X	0.0	charge does not matter		
56dthm	C00906	56dthm	"5,6-Dihydrothymine"	C5H8N2O2	0.0	BiGG compound	56dthm	5,6-Dihydrothymine, Dihydrothymine, 5,6-Dihydro-5-methyluracil
3htmelys	C01259	3htmelys	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	C9H21N2O3	1.0	formula and charge based on MetaCyc	3htmelys	
gdpfuc	C00325	gdpfuc	GDP-L-fucose	C16H23N5O15P2	-2.0	BiGG compound	gdpfuc	GDP-beta-L-fucose
T4hcinnm	C00811	T4hcinnm	trans-4-Hydroxycinnamate	C9H7O3	-1.0	BiGG compound	T4hcinnm	4-Coumarate, p-Coumaric acid, trans-p-Hydroxycinnamate, 4-Hydroxycinnamic acid, 4-Hydroxycinnamate
prostgd2	C00696	prostgd2	Prostaglandin D2	C20H31O5	-1.0	BiGG compound	prostgd2	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate, (5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate, PGD2
sel	C05697	sel	Selenate	O4Se	-2.0	BiGG compound	sel	Selenic acid
xoldiolone	C17339	xoldiolone	"7alpha,12alpha-Dihydroxycholest-4-en-3-one"	C27H44O3	0.0	BiGG compound	xoldiolone	4-Cholesten-7alpha,12alpha-diol-3-one, 7alpha,12alpha-Dihydroxy-4-cholesten-3-one
3oddcoa	C05263	3oddcoa	3-Oxododecanoyl-CoA	C33H52N7O18P3S	-4.0	BiGG compound	3oddcoa	
co2	C00011	co2	CO2	CO2	0.0	BiGG compound	co2	Carbon dioxide
m4masn	CC0032	m4masn	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C50.0H84.0N4.0O38.0	-0.0	designated as G00012 in KEGG nomenclature	m4masn	
2pglyc	C00988	2pglyc	2-Phosphoglycolate	C2H2O6P	-3.0	BiGG compound	2pglyc	Phosphoglycolic acid
m8masn	CC0031	m8masn	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C74.0H124.0N4.0O58.0	-0.0	designated as G00011 in KEGG nomenclature	m8masn	
5hoxindact	C05634	5hoxindact	5-Hydroxyindoleacetaldehyde	C10H9NO2	0.0	BiGG compound	5hoxindact	
glyclt	C00160	glyclt	Glycolate	C2H3O3	-1.0	BiGG compound	glyclt	Glycolic acid, Hydroxyacetic acid
hmgcoa	C00356	hmgcoa	Hydroxymethylglutaryl-CoA	C27H39N7O20P3S	-5.0	BiGG compound	hmgcoa	(S)-3-Hydroxy-3-methylglutaryl-CoA, Hydroxymethylglutaroyl coenzyme A, HMG-CoA, 3-Hydroxy-3-methylglutaryl-CoA
gcynala	C05711	gcynala	gamma-Glutamyl-beta-cyanoalanine	C9H12N3O5	-1.0	charge based on structure together with the charges of 3-cyano-L-alanine and glutamate given in MetaCyc		
ind3ac	C00954	ind3ac	Indole-3-acetate	C10H8NO2	-1.0	BiGG compound	ind3ac	Indole-3-acetic acid, (Indol-3-yl)acetate, Indoleacetate, Indoleacetic acid, IAA
g3m8mpdol	CC0027	g3m8mpdol	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C198H326N2O77P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00008 in KEGG nomenclature	g3m8mpdol_L,g3m8mpdol_U	
fa17p0iso	CC0071	fa17p0iso	Fatty acid (C17:iso)	C17H33O2	-1.0	same as fa11 in BIGG; renamed to be consistent with the name convention here for fatty acids without a specific name. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
hxcoa	C05270	hxcoa	Hexanoyl-CoA (n-C6:0CoA)	C27H42N7O17P3S	-4.0	BiGG compound	hxcoa	Hexanoyl-CoA
dcacoa	C05274	dcacoa	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	-4.0	BiGG compound	dcacoa	Decanoyl-CoA
mi14p	C01220	mi14p	"1D-myo-Inositol 1,4-bisphosphate"	C6H10O12P2	-4.0	BiGG compound	mi14p	1D-myo-Inositol 1,4-bisphosphate, D-myo-Inositol 1,4-bisphosphate, myo-Inositol 1,4-bisphosphate, Inositol 1,4-bisphosphate
protrna	C02702	protrna	L-Prolyl-tRNA(Pro)	C5H9NO2R	1.0	tRNA formula in BiGG was modified for mass balance	protrna	
4hphac	C00642	4hphac	4-Hydroxyphenylacetate	C8H7O3	-1.0	BiGG compound	4hphac	4-Hydroxyphenylacetic acid
2hglut	C02630	2hglut	(S)-2-Hydroxyglutarate	C5H6O5	-2.0	charge based on DBET and S2hglut in BIGG; indicates both S and R stereoisomers for simplicity	S2hglut	2-Hydroxyglutarate, alpha-Hydroxyglutarate
dctp	C00458	dctp	dCTP	C9H12N3O13P3	-4.0	BiGG compound	dctp	Deoxycytidine 5'-triphosphate, Deoxycytidine triphosphate, 2'-Deoxycytidine 5'-triphosphate
tsul	C00320	tsul	Thiosulfate	O3S2	-2.0	BiGG compound	tsul	Hyposulfite
ru5p-D	C00199	ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2.0	BiGG compound	ru5p-D	
uacgam	C00043	uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2.0	BiGG compound	uacgam	UDP-N-acetyl-alpha-D-glucosamine, UDP-N-acetylglucosamine
pyam5p	C00647	pyam5p	Pyridoxamine 5'-phosphate	C8H12N2O5P	-1.0	BiGG compound	pyam5p	Pyridoxamine phosphate, Pyridoxamine 5-phosphate
gdpddman	C01222	gdpddman	GDP-4-dehydro-6-deoxy-D-mannose	C16H21N5O15P2	-2.0	BiGG compound	gdpddman	GDP-4-dehydro-6-deoxy-D-talose, GDP-4-oxo-6-deoxy-D-mannose, GDP-4-dehydro-D-rhamnose, GDP-4-keto-6-deoxy-D-mannose, GDP-4-dehydro-alpha-D-rhamnose, GDP-4-dehydro-6-deoxy-alpha-D-mannose
spmd	C00315	spmd	Spermidine	C7H22N3	3.0	BiGG compound	spmd	N-(3-Aminopropyl)-1,4-butane-diamine
glcr	C00818	glcr	D-Glucarate	C6H8O8	-2.0	BiGG compound	glcr	D-Glucaric acid, L-Gularic acid, D-Saccharic acid, D-Glucosaccharic acid, Glucaric acid, Glucarate
glcn	C00257	glcn	D-Gluconate	C6H11O7	-1.0	BiGG compound	glcn	D-Gluconic acid, D-gluco-Hexonic acid
2pg	C00631	2pg	D-Glycerate 2-phosphate	C3H4O7P	-3.0	BiGG compound	2pg	2-Phospho-D-glycerate, 2-Phospho-(R)-glycerate
2np6mep	CC0008	2np6mep	2-nonaprenyl-6-methoxyphenol	C52H80O2	0.0	charge based on 2dp6mep in BIGG		
glu5p	C03287	glu5p	L-Glutamate 5-phosphate	C5H8NO7P	-2.0	BiGG compound	glu5p	L-Glutamyl 5-phosphate
pcollg4hpro	C04398	pcollg4hpro	Procollagen trans-4-hydroxy-L-proline	XOH	0.0	charge does not matter		
12ppd-R	C00583	12ppd-R	Propylene glycol	C3H8O2	0.0	changed KEGG ID to generic compound rather than the stereoisomer	12ppd-R	Propane-1,2-diol, 1,2-Propanediol
pser-L	C01005	pser-L	O-Phospho-L-serine	C3H6NO6P	-2.0	BiGG compound	pser-L	L-O-Phosphoserine, 3-Phosphoserine, Dexfosfoserine
anth	C00108	anth	Anthranilate	C7H6NO2	-1.0	BiGG compound	anth	Anthranilic acid, o-Aminobenzoic acid, Vitamin L1, 2-Aminobenzoate
35cgmp	C00942	35cgmp	"3',5'-Cyclic GMP"	C10H11N5O7P	-1.0	BiGG compound	35cgmp	3',5'-Cyclic GMP, Guanosine 3',5'-cyclic monophosphate, Guanosine 3',5'-cyclic phosphate, Cyclic GMP, cGMP
RNA	CC0120	RNA	RNA (biomass)	C9.467H10.6954N3.6294O7.0711P1.0	-1.0	for biomass equation; charge does not matter		
xoltriol	C05454	xoltriol	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane"	C27H48O3	0.0	BiGG compound	xoltriol	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane, 5beta-Cholestane-3alpha,7alpha,12alpha-triol, 3alpha,7alpha,12alpha-Trihydroxycoprostane
alkylR1oh	C00339	alkylR1oh	hydroxy alkyl chain	C18.0H38.0O1.0	0.0	BiGG compound	alkylR1oh	Long-chain alcohol
adprib	C00301	adprib	ADPribose	C15H21N5O14P2	-2.0	BiGG compound	adprib	ADP-ribose, ADP-D-ribose, Adenosine diphosphate ribose
coa	C00010	coa	Coenzyme A	C21H32N7O16P3S	-4.0	BiGG compound	coa	CoA, CoA-SH
arachdcrn	CC0106	arachdcrn	C20:4 carnitine	C27H45NO4	0.0	charge and formula based on other acyl carnitines	arachdcrn	
s	C00087	s	Sulfur	S	0.0	BiGG compound	s	S, Elemental sulfur
valtrna	C02554	valtrna	L-Valyl-tRNA(Val)	C5H11NO2R	1.0	tRNA formula in BiGG was modified for mass balance	valtrna	
pdx5p	C00627	pdx5p	Pyridoxine 5'-phosphate	C8H10NO6P	-2.0	BiGG compound	pdx5p	Pyridoxine phosphate, Pyridoxine 5-phosphate, Pyridoxol 5'-phosphate
akgm	C00940	akgm	alpha-Ketoglutaramate	C5H6NO4	-1.0	charge based on MetaCyc and 3DMET		2-Oxoglutaramate, 2-Oxoglutaramic acid, 2-Ketoglutaramate
peplys	C02188	peplys	Peptidyl-L-lysine	XC6H13N2O	1.0	formula and charge based on MetaCyc	peplys	Protein lysine
5HETE	C04805	5HETE	5-Hydroxyeicosatetraenoate	C20H31O3	-1.0	charge is obvious based on general rules and similar compounds		5(S)-HETE, 5-HETE, (6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid
tmao	C01104	tmao	Trimethylamine N-oxide	C3H9NO	0.0	BiGG compound	tmao	(CH3)3NO
alkenac2g	C03454	alkenac2g	1-Alkenyl-2-acylglycerol	C39.5654H72.5778O4.0	-0.0	charge is obvious based on general rules and similar compounds		
galt	C01697	galt	Galactitol	C6H14O6	0.0	BiGG compound	galt	Dulcitol, Dulcose
ascrTotal	CC0180	ascrTotal	Total ascaroside	C77.0H133.0O35.0	-5.0	Represents total ascaroside; charge does not matter		
hx2coa	C05271	hx2coa	trans-Hex-2-enoyl-CoA	C27H40N7O17P3S	-4.0	BiGG compound	hx2coa	(2E)-Hexenoyl-CoA
andrstrnglc	C11135	andrstrnglc	androsterone glucuronide	C25H38O8	0.0	BiGG compound	andrstrnglc	Androsterone 3-glucuronide
cl	C00698	cl	Chloride	Cl	-1.0	BiGG compound	cl	Cl-, Chloride ion
dedoldp	C05859	dedoldp	Dehydrodolichol diphosphate, n=18	C110H177O7P2	-3.0	assumed n=18 for the number of isoprene units; charge of this molecule comes from the PP group only	dedoldp_L,dedoldp_U	Dehydrodolichol diphosphate, Dehydrodolichyl diphosphate, ditrans,polycis-Polyprenyl diphosphate
acald	C00084	acald	Acetaldehyde	C2H4O	0.0	BiGG compound	acald	Ethanal
ac	C00033	ac	Acetate	C2H3O2	-1.0	BiGG compound	ac	Acetic acid, Ethanoic acid
s17bp	C00447	s17bp	"Sedoheptulose 1,7-bisphosphate"	C7H12O13P2	-4.0	BiGG compound	s17bp	Sedoheptulose 1,7-bisphosphate, D-Sedoheptulose 1,7-bisphosphate, D-altro-Heptulose 1,7-biphosphate
ala-L	C00041	ala-L	L-Alanine	C3H7NO2	0.0	BiGG compound	ala-L	L-2-Aminopropionic acid, L-alpha-Alanine
g2m8masn	CC0029	g2m8masn	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C86.0H144.0N4.0O68.0	-0.0	designated as G00171 in KEGG nomenclature	g2m8masn	
3snpyr	C05527	3snpyr	3-Sulfinopyruvate	C3H2O5S	-2.0	BiGG compound	3snpyr	3-Sulfinylpyruvate
ala-D	C00133	ala-D	D-Alanine	C3H7NO2	0.0	BiGG compound	ala-D	D-2-Aminopropionic acid, D-Ala
dtmp	C00364	dtmp	dTMP	C10H13N2O8P	-2.0	BiGG compound	dtmp	Thymidine 5'-phosphate, Deoxythymidine 5'-phosphate, Thymidylic acid, 5'-Thymidylic acid, Thymidine monophosphate, Deoxythymidylic acid, Thymidylate
ala-B	C00099	ala-B	beta-Alanine	C3H7NO2	0.0	BiGG compound	ala-B	3-Aminopropionic acid, 3-Aminopropanoate
utp	C00075	utp	UTP	C9H11N2O15P3	-4.0	BiGG compound	utp	Uridine 5'-triphosphate, Uridine triphosphate
aact	C01888	aact	Aminoacetone	C3H8NO	1.0	BiGG compound	aact	1-Amino-2-propanone
ps	C02737	ps	Phosphatidylserine	C43.1308H74.1556N1.0O10.0P1.0	-1.0	charge is based on matching BiGG compounds	ps181,ps180,ps161,ps160,ps141,ps140,ps120,ps_SA,ps_hs,ps_EC,ps_HP,ps_SC	Phosphatidyl-L-serine, 1,2-Diacyl-sn-glycerol 3-phospho-L-serine, 3-O-sn-Phosphatidyl-L-serine, O3-Phosphatidyl-L-serine, L-1-Phosphatidylserine
e4p	C00279	e4p	D-Erythrose 4-phosphate	C4H7O7P	-2.0	BiGG compound	e4p	
m5mpdol	CC0021	m5mpdol	(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C162H266N2O47P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10595 in KEGG nomenclature	m5mpdol_L,um5mpdol_U	
grdp	C00341	grdp	Geranyl diphosphate	C10H17O7P2	-3.0	BiGG compound	grdp	
damp	C00360	damp	dAMP	C10H12N5O6P	-2.0	BiGG compound	damp	2'-Deoxyadenosine 5'-phosphate, 2'-Deoxyadenosine 5'-monophosphate, Deoxyadenylic acid, Deoxyadenosine monophosphate
mpdol	C05860	mpdol	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol	C132H216N2O22P2	-2.0	assumed n=18 for the number of isoprene units	macchitppdol,mpdol_L,mpdol_U	beta-1,4-D-Mannosylchitobiosyldiphosphodolichol, Man-beta1->4GlcNAc-beta1->4GlcNAc-PP-Dol
amet	C00019	amet	S-Adenosyl-L-methionine	C15H23N6O5S	1.0	BiGG compound	amet	S-Adenosylmethionine, AdoMet, SAM
dtdp	C00363	dtdp	dTDP	C10H13N2O11P2	-3.0	BiGG compound	dtdp	Deoxythymidine 5'-diphosphate
cyst-L	C02291	cyst-L	L-Cystathionine	C7H14N2O4S	0.0	BiGG compound	cyst-L	
dhap	C00111	dhap	Dihydroxyacetone phosphate	C3H5O6P	-2.0	BiGG compound	dhap	Glycerone phosphate, 3-Hydroxy-2-oxopropyl phosphate
fru	C00095	fru	D-Fructose	C6H12O6	0.0	BiGG compound	fru	Levulose, Fruit sugar, D-arabino-Hexulose
pe	C00350	pe	Phosphatidylethanolamine	C42.1308H75.1556N1.0O8.0P1.0	-0.0	charge is based on matching BiGG compounds	pe181,pe180,pe161,pe160,pe141,pe140,pe120,pe_SA,pe_hs,pe_EC,pe_HP,pe_SC	(3-Phosphatidyl)ethanolamine, (3-Phosphatidyl)-ethanolamine, Cephalin, O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine, 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine, L-1-Phosphatidylethanolamine
trnahis	C01643	trnahis	tRNA(His)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnahis	
Sfglutth	C01031	Sfglutth	S-Formylglutathione	C11H16N3O7S	-1.0	BiGG compound	Sfglutth	
gam6p	C00352	gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1.0	BiGG compound	gam6p	D-Glucosamine phosphate
pi	C00009	pi	Phosphate	HO4P	-2.0	BiGG compound	pi	Orthophosphate, Phosphoric acid, Orthophosphoric acid
acrn	C02571	acrn	O-Acetylcarnitine	C9H17NO4	0.0	BiGG compound	acrn	O-Acetyl-L-carnitine
eicostetcoa	C16164	eicostetcoa	eicosatetranoyl coenzyme A	C41H62N7O17P3S	-4.0	BiGG compound	eicostetcoa	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA
cpmp	C18239	cpmp	Cyclic pyranopterin monophosphate	C10H11N5O7P	-1.0	charge based on MetaCyc. | The other name of compound is precursor Z		Precursor Z, Cyclic pyranopterin phosphate, cPMP
3dsphgn_ce	CC0206	3dsphgn_ce	3-Dehydrosphinganine	C19H40NO2	1.0	charge based on matching BiGG compound	3dsphgn	
thcholst	C01301	thcholst	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al"	C27H46O4	0.0	BiGG compound	thcholst	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
dhet	C14774	dhet	11,12-DHET	C20H33O4	-1.0	charge is obvious based on general rules and similar compounds		(5Z,8Z,14Z)-11,12-Dihydroxyeicosa-5,8,14-trienoic acid, (5Z,8Z,14Z)-11,12-Dihydroxyicosa-5,8,14-trienoic acid
gar	C03838	gar	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	-1.0	BiGG compound	gar	5'-Phosphoribosylglycinamide, GAR, Glycinamide ribonucleotide
pydx5p	C00018	pydx5p	Pyridoxal 5'-phosphate	C8H8NO6P	-2.0	BiGG compound	pydx5p	Pyridoxal phosphate, Pyridoxal 5-phosphate, PLP
gam	C00329	gam	D-Glucosamine	C6H14NO5	1.0	BiGG compound	gam	Chitosamine, 2-Amino-2-deoxy-D-glucose
sphgn_ce	CC0207	sphgn_ce	Sphinganine	C19H42NO2	1.0	charge based on matching BiGG compound	sphgn	
42A3HP24DB	C05645	42A3HP24DB	"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	C10H8NO5	-1.0	BiGG compound	42A3HP24DB	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
kynate	C01717	kynate	4-Hydroxy-2-quinolinecarboxylic acid	C10H6NO3	-1.0	BiGG compound	kynate	Kynurenic acid, Kynurenate
hLkynr	C03227	hLkynr	3-Hydroxy-L-kynurenine	C10H12N2O4	0.0	BiGG compound	hLkynr	
ins	C00294	ins	Inosine	C10H12N4O5	0.0	BiGG compound	ins	
pchol	C00157	pchol	Phosphatidylcholine	C45.1308H81.1556N1.0O8.0P1.0	0.0	charge is based on matching BiGG compounds	pchol_hs,pc_EC,pc_SC	Lecithin, Phosphatidyl-N-trimethylethanolamine, 1,2-Diacyl-sn-glycero-3-phosphocholine, Choline phosphatide, 3-sn-Phosphatidylcholine
gmp	C00144	gmp	GMP	C10H12N5O8P	-2.0	BiGG compound	gmp	Guanosine 5'-phosphate, Guanosine monophosphate, Guanosine 5'-monophosphate, Guanylic acid
2kmb	C01180	2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1.0	BiGG compound	2kmb	4-Methylthio-2-oxobutanoic acid, 4-Methylthio-2-oxobutanoate, 2-Keto-4-methylthiobutyric acid, 2-Oxo-4-methylthiobutanoate, 2-Oxo-4-methylthiobutanoic acid
lald-D	C05999	lald-D	D-Lactaldehyde	C3H6O2	0.0	BiGG compound	lald-D	Lactaldehyde, 2-Hydroxypropionaldehyde, 2-Hydroxypropanal
ncam	C00153	ncam	Nicotinamide	C6H6N2O	0.0	BiGG compound	ncam	Nicotinic acid amide, Niacinamide, Vitamin PP
sertrna	C02553	sertrna	L-Seryl-tRNA(Ser)	C3H7NO3R	1.0	tRNA formula in BiGG was modified for mass balance	sertrna	
ttdcrn	CC0061	ttdcrn	tetradecanoyl carnitine	C21H41NO4	0.0	charge and formula based on other acyl carnitines	ttdcrn	
trnasec	C16636	trnasec	tRNA(Sec)	ROH	0.0	tRNA formula in BiGG was modified for mass balance		
tchola	C05122	tchola	taurocholic acid	C26H45NO7S	0.0	BiGG compound	tchola	Taurocholate, Cholyltaurine
lcts	C00243	lcts	Lactose	C12H22O11	0.0	BiGG compound	lcts	1-beta-D-Galactopyranosyl-4-D-glucopyranose, beta-D-Gal-(1->4)-D-Glc, Milk sugar
