	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
C00160	glyclt	Glycolate	C2H3O3	-1	BiGG compound	glyclt	Glycolic acid, Hydroxyacetic acid
C00356	hmgcoa	Hydroxymethylglutaryl-CoA	C27H39N7O20P3S	-5	BiGG compound	hmgcoa	(S)-3-Hydroxy-3-methylglutaryl-CoA, Hydroxymethylglutaroyl coenzyme A, HMG-CoA, 3-Hydroxy-3-methylglutaryl-CoA
C05711	gcynala	gamma-Glutamyl-beta-cyanoalanine	C9H12N3O5	-1.0	charge based on structure together with the charges of 3-cyano-L-alanine and glutamate given in MetaCyc		
C00954	ind3ac	Indole-3-acetate	C10H8NO2	-1	BiGG compound	ind3ac	Indole-3-acetic acid, (Indol-3-yl)acetate, Indoleacetate, Indoleacetic acid, IAA
CC0027	g3m8mpdol	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C198H326N2O77P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00008 in KEGG nomenclature	g3m8mpdol_L,g3m8mpdol_U	
CC0071	fa17p0iso	Fatty acid (C17:iso)	C17H33O2	-1.0	same as fa11 in BIGG; renamed to be consistent with the name convention here for fatty acids without a specific name. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
C05270	hxcoa	Hexanoyl-CoA (n-C6:0CoA)	C27H42N7O17P3S	-4	BiGG compound	hxcoa	Hexanoyl-CoA
C05274	dcacoa	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	-4	BiGG compound	dcacoa	Decanoyl-CoA
C01220	mi14p	"1D-myo-Inositol 1,4-bisphosphate"	C6H10O12P2	-4	BiGG compound	mi14p	1D-myo-Inositol 1,4-bisphosphate, D-myo-Inositol 1,4-bisphosphate, myo-Inositol 1,4-bisphosphate, Inositol 1,4-bisphosphate
C02702	protrna	L-Prolyl-tRNA(Pro)	C5H9NO2R	1.0	tRNA formula in BiGG was modified for mass balance	protrna	
C00642	4hphac	4-Hydroxyphenylacetate	C8H7O3	-1	BiGG compound	4hphac	4-Hydroxyphenylacetic acid
C02630	2hglut	(S)-2-Hydroxyglutarate	C5H6O5	-2.0	charge based on DBET and S2hglut in BIGG; indicates both S and R stereoisomers for simplicity	S2hglut	2-Hydroxyglutarate, alpha-Hydroxyglutarate
C00458	dctp	dCTP	C9H12N3O13P3	-4	BiGG compound	dctp	Deoxycytidine 5'-triphosphate, Deoxycytidine triphosphate, 2'-Deoxycytidine 5'-triphosphate
C00320	tsul	Thiosulfate	O3S2	-2	BiGG compound	tsul	Hyposulfite
C00199	ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2	BiGG compound	ru5p-D	
C00043	uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	BiGG compound	uacgam	UDP-N-acetyl-alpha-D-glucosamine, UDP-N-acetylglucosamine
C00647	pyam5p	Pyridoxamine 5'-phosphate	C8H12N2O5P	-1	BiGG compound	pyam5p	Pyridoxamine phosphate, Pyridoxamine 5-phosphate
C01222	gdpddman	GDP-4-dehydro-6-deoxy-D-mannose	C16H21N5O15P2	-2	BiGG compound	gdpddman	GDP-4-dehydro-6-deoxy-D-talose, GDP-4-oxo-6-deoxy-D-mannose, GDP-4-dehydro-D-rhamnose, GDP-4-keto-6-deoxy-D-mannose, GDP-4-dehydro-alpha-D-rhamnose, GDP-4-dehydro-6-deoxy-alpha-D-mannose
C00315	spmd	Spermidine	C7H22N3	3	BiGG compound	spmd	N-(3-Aminopropyl)-1,4-butane-diamine
C00818	glcr	D-Glucarate	C6H8O8	-2	BiGG compound	glcr	D-Glucaric acid, L-Gularic acid, D-Saccharic acid, D-Glucosaccharic acid, Glucaric acid, Glucarate
C00257	glcn	D-Gluconate	C6H11O7	-1	BiGG compound	glcn	D-Gluconic acid, D-gluco-Hexonic acid
C00631	2pg	D-Glycerate 2-phosphate	C3H4O7P	-3	BiGG compound	2pg	2-Phospho-D-glycerate, 2-Phospho-(R)-glycerate
CC0008	2np6mep	2-nonaprenyl-6-methoxyphenol	C52H80O2	0.0	charge based on 2dp6mep in BIGG		
C03287	glu5p	L-Glutamate 5-phosphate	C5H8NO7P	-2	BiGG compound	glu5p	L-Glutamyl 5-phosphate
C04398	pcollg4hpro	Procollagen trans-4-hydroxy-L-proline	XOH	0.0	charge does not matter		
C00583	12ppd-R	Propylene glycol	C3H8O2	0.0	changed KEGG ID to generic compound rather than the stereoisomer	12ppd-R	Propane-1,2-diol, 1,2-Propanediol
C01005	pser-L	O-Phospho-L-serine	C3H6NO6P	-2	BiGG compound	pser-L	L-O-Phosphoserine, 3-Phosphoserine, Dexfosfoserine
C00108	anth	Anthranilate	C7H6NO2	-1	BiGG compound	anth	Anthranilic acid, o-Aminobenzoic acid, Vitamin L1, 2-Aminobenzoate
C00942	35cgmp	"3',5'-Cyclic GMP"	C10H11N5O7P	-1	BiGG compound	35cgmp	3',5'-Cyclic GMP, Guanosine 3',5'-cyclic monophosphate, Guanosine 3',5'-cyclic phosphate, Cyclic GMP, cGMP
CC0120	RNA	RNA (biomass)	X	0.0	for biomass equation; charge does not matter		
C05454	xoltriol	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane"	C27H48O3	0	BiGG compound	xoltriol	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane, 5beta-Cholestane-3alpha,7alpha,12alpha-triol, 3alpha,7alpha,12alpha-Trihydroxycoprostane
C00339	alkylR1oh	hydroxy alkyl chain	C2H5OFULLR	0	BiGG compound	alkylR1oh	Long-chain alcohol
C00301	adprib	ADPribose	C15H21N5O14P2	-2	BiGG compound	adprib	ADP-ribose, ADP-D-ribose, Adenosine diphosphate ribose
C00010	coa	Coenzyme A	C21H32N7O16P3S	-4	BiGG compound	coa	CoA, CoA-SH
CC0106	arachdcrn	C20:4 carnitine	C27H45NO4	0.0	charge and formula based on other acyl carnitines	arachdcrn	
C00087	s	Sulfur	S	0	BiGG compound	s	S, Elemental sulfur
C02554	valtrna	L-Valyl-tRNA(Val)	C5H11NO2R	1.0	tRNA formula in BiGG was modified for mass balance	valtrna	
C00627	pdx5p	Pyridoxine 5'-phosphate	C8H10NO6P	-2	BiGG compound	pdx5p	Pyridoxine phosphate, Pyridoxine 5-phosphate, Pyridoxol 5'-phosphate
C00940	akgm	alpha-Ketoglutaramate	C5H6NO4	-1.0	charge based on MetaCyc and 3DMET		2-Oxoglutaramate, 2-Oxoglutaramic acid, 2-Ketoglutaramate
C02188	peplys	Peptidyl-L-lysine	XC6H13N2O	1.0	formula and charge based on MetaCyc	peplys	Protein lysine
C04805	5HETE	5-Hydroxyeicosatetraenoate	C20H31O3	-1.0	charge is obvious based on general rules and similar compounds		5(S)-HETE, 5-HETE, (6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid
C01104	tmao	Trimethylamine N-oxide	C3H9NO	0	BiGG compound	tmao	(CH3)3NO
C03454	alkenac2g	1-Alkenyl-2-acylglycerol	C4H6O4RRC2H2	0.0	charge is obvious based on general rules and similar compounds		
C01697	galt	Galactitol	C6H14O6	0	BiGG compound	galt	Dulcitol, Dulcose
C05271	hx2coa	trans-Hex-2-enoyl-CoA	C27H40N7O17P3S	-4	BiGG compound	hx2coa	(2E)-Hexenoyl-CoA
C11135	andrstrnglc	androsterone glucuronide	C25H38O8	0	BiGG compound	andrstrnglc	Androsterone 3-glucuronide
C00698	cl	Chloride	Cl	-1	BiGG compound	cl	Cl-, Chloride ion
C05859	dedoldp	Dehydrodolichol diphosphate, n=18	C110H177O7P2	-3.0	assumed n=18 for the number of isoprene units; charge of this molecule comes from the PP group only	dedoldp_L,dedoldp_U	Dehydrodolichol diphosphate, Dehydrodolichyl diphosphate, ditrans,polycis-Polyprenyl diphosphate
C00084	acald	Acetaldehyde	C2H4O	0	BiGG compound	acald	Ethanal
C00033	ac	Acetate	C2H3O2	-1	BiGG compound	ac	Acetic acid, Ethanoic acid
C00447	s17bp	"Sedoheptulose 1,7-bisphosphate"	C7H12O13P2	-4	BiGG compound	s17bp	Sedoheptulose 1,7-bisphosphate, D-Sedoheptulose 1,7-bisphosphate, D-altro-Heptulose 1,7-biphosphate
C00041	ala-L	L-Alanine	C3H7NO2	0	BiGG compound	ala-L	L-2-Aminopropionic acid, L-alpha-Alanine
CC0029	g2m8masn	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X	0.0	designated as G00171 in KEGG nomenclature	g2m8masn	
C05527	3snpyr	3-Sulfinopyruvate	C3H2O5S	-2	BiGG compound	3snpyr	3-Sulfinylpyruvate
C00133	ala-D	D-Alanine	C3H7NO2	0	BiGG compound	ala-D	D-2-Aminopropionic acid, D-Ala
C00364	dtmp	dTMP	C10H13N2O8P	-2	BiGG compound	dtmp	Thymidine 5'-phosphate, Deoxythymidine 5'-phosphate, Thymidylic acid, 5'-Thymidylic acid, Thymidine monophosphate, Deoxythymidylic acid, Thymidylate
C00099	ala-B	beta-Alanine	C3H7NO2	0	BiGG compound	ala-B	3-Aminopropionic acid, 3-Aminopropanoate
C00075	utp	UTP	C9H11N2O15P3	-4	BiGG compound	utp	Uridine 5'-triphosphate, Uridine triphosphate
C01888	aact	Aminoacetone	C3H8NO	1	BiGG compound	aact	1-Amino-2-propanone
C02737	ps	Phosphatidylserine	C6H11NO6PFULLRCO2FULLR2CO2	-1.0	charge is based on matching BiGG compounds	ps181,ps180,ps161,ps160,ps141,ps140,ps120,ps_SA,ps_hs,ps_EC,ps_HP,ps_SC	Phosphatidyl-L-serine, 1,2-Diacyl-sn-glycerol 3-phospho-L-serine, 3-O-sn-Phosphatidyl-L-serine, O3-Phosphatidyl-L-serine, L-1-Phosphatidylserine
C00279	e4p	D-Erythrose 4-phosphate	C4H7O7P	-2	BiGG compound	e4p	
CC0021	m5mpdol	(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C162H266N2O47P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10595 in KEGG nomenclature	m5mpdol_L,um5mpdol_U	
C00341	grdp	Geranyl diphosphate	C10H17O7P2	-3	BiGG compound	grdp	
C00360	damp	dAMP	C10H12N5O6P	-2	BiGG compound	damp	2'-Deoxyadenosine 5'-phosphate, 2'-Deoxyadenosine 5'-monophosphate, Deoxyadenylic acid, Deoxyadenosine monophosphate
C05860	mpdol	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol	C132H216N2O22P2	-2.0	assumed n=18 for the number of isoprene units	macchitppdol,mpdol_L,mpdol_U	beta-1,4-D-Mannosylchitobiosyldiphosphodolichol, Man-beta1->4GlcNAc-beta1->4GlcNAc-PP-Dol
C00019	amet	S-Adenosyl-L-methionine	C15H23N6O5S	1	BiGG compound	amet	S-Adenosylmethionine, AdoMet, SAM
C00363	dtdp	dTDP	C10H13N2O11P2	-3	BiGG compound	dtdp	Deoxythymidine 5'-diphosphate
C00111	dhap	Dihydroxyacetone phosphate	C3H5O6P	-2	BiGG compound	dhap	Glycerone phosphate, 3-Hydroxy-2-oxopropyl phosphate
C00095	fru	D-Fructose	C6H12O6	0	BiGG compound	fru	Levulose, Fruit sugar, D-arabino-Hexulose
C00350	pe	Phosphatidylethanolamine	C5H12NO4PFULLRCO2FULLR2CO2	0.0	charge is based on matching BiGG compounds	pe181,pe180,pe161,pe160,pe141,pe140,pe120,pe_SA,pe_hs,pe_EC,pe_HP,pe_SC	(3-Phosphatidyl)ethanolamine, (3-Phosphatidyl)-ethanolamine, Cephalin, O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine, 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine, L-1-Phosphatidylethanolamine
C01643	trnahis	tRNA(His)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnahis	
C01031	Sfglutth	S-Formylglutathione	C11H16N3O7S	-1	BiGG compound	Sfglutth	
C00352	gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1	BiGG compound	gam6p	D-Glucosamine phosphate
C00009	pi	Phosphate	HO4P	-2	BiGG compound	pi	Orthophosphate, Phosphoric acid, Orthophosphoric acid
C02571	acrn	O-Acetylcarnitine	C9H17NO4	0	BiGG compound	acrn	O-Acetyl-L-carnitine
C16164	eicostetcoa	eicosatetranoyl coenzyme A	C41H62N7O17P3S	-4	BiGG compound	eicostetcoa	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA
C18239	cpmp	Cyclic pyranopterin monophosphate	C10H11N5O7P	-1.0	charge based on MetaCyc. | The other name of compound is precursor Z		Precursor Z, Cyclic pyranopterin phosphate, cPMP
CC0206	3dsphgn_ce	3-Dehydrosphinganine	C19H40NO2	1.0	charge based on matching BiGG compound	3dsphgn	
C01301	thcholst	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al"	C27H46O4	0	BiGG compound	thcholst	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
C14774	dhet	11,12-DHET	C20H33O4	-1.0	charge is obvious based on general rules and similar compounds		(5Z,8Z,14Z)-11,12-Dihydroxyeicosa-5,8,14-trienoic acid, (5Z,8Z,14Z)-11,12-Dihydroxyicosa-5,8,14-trienoic acid
C03838	gar	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	-1	BiGG compound	gar	5'-Phosphoribosylglycinamide, GAR, Glycinamide ribonucleotide
C00018	pydx5p	Pyridoxal 5'-phosphate	C8H8NO6P	-2	BiGG compound	pydx5p	Pyridoxal phosphate, Pyridoxal 5-phosphate, PLP
C00329	gam	D-Glucosamine	C6H14NO5	1	BiGG compound	gam	Chitosamine, 2-Amino-2-deoxy-D-glucose
CC0207	sphgn_ce	Sphinganine	C19H42NO2	1.0	charge based on matching BiGG compound	sphgn	
C05645	42A3HP24DB	"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	C10H8NO5	-1	BiGG compound	42A3HP24DB	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C01717	kynate	4-Hydroxy-2-quinolinecarboxylic acid	C10H6NO3	-1	BiGG compound	kynate	Kynurenic acid, Kynurenate
C03227	hLkynr	3-Hydroxy-L-kynurenine	C10H12N2O4	0	BiGG compound	hLkynr	
C00294	ins	Inosine	C10H12N4O5	0	BiGG compound	ins	
C00157	pchol	Phosphatidylcholine	C8H18NO4PFULLRCO2FULLR2CO2	0.0	charge is based on matching BiGG compounds	pchol_hs,pc_EC,pc_SC	Lecithin, Phosphatidyl-N-trimethylethanolamine, 1,2-Diacyl-sn-glycero-3-phosphocholine, Choline phosphatide, 3-sn-Phosphatidylcholine
C00144	gmp	GMP	C10H12N5O8P	-2	BiGG compound	gmp	Guanosine 5'-phosphate, Guanosine monophosphate, Guanosine 5'-monophosphate, Guanylic acid
C01180	2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1	BiGG compound	2kmb	4-Methylthio-2-oxobutanoic acid, 4-Methylthio-2-oxobutanoate, 2-Keto-4-methylthiobutyric acid, 2-Oxo-4-methylthiobutanoate, 2-Oxo-4-methylthiobutanoic acid
C05999	lald-D	D-Lactaldehyde	C3H6O2	0	BiGG compound	lald-D	Lactaldehyde, 2-Hydroxypropionaldehyde, 2-Hydroxypropanal
C00153	ncam	Nicotinamide	C6H6N2O	0	BiGG compound	ncam	Nicotinic acid amide, Niacinamide, Vitamin PP
C02553	sertrna	L-Seryl-tRNA(Ser)	C3H7NO3R	1.0	tRNA formula in BiGG was modified for mass balance	sertrna	
CC0061	ttdcrn	tetradecanoyl carnitine	C21H41NO4	0.0	charge and formula based on other acyl carnitines	ttdcrn	
C16636	trnasec	tRNA(Sec)	ROH	0.0	tRNA formula in BiGG was modified for mass balance		
C05122	tchola	taurocholic acid	C26H45NO7S	0	BiGG compound	tchola	Taurocholate, Cholyltaurine
C00243	lcts	Lactose	C12H22O11	0	BiGG compound	lcts	1-beta-D-Galactopyranosyl-4-D-glucopyranose, beta-D-Gal-(1->4)-D-Glc, Milk sugar
C00127	gthox	Oxidized glutathione	C20H30N6O12S2	-2	BiGG compound	gthox	Glutathione disulfide, GSSG, Oxiglutatione
C00122	fum	Fumarate	C4H2O4	-2	BiGG compound	fum	Fumaric acid, trans-Butenedioic acid
C16165	tmndnccoa	timnodonyl coenzyme A	C41H60N7O17P3S	-4	BiGG compound	tmndnccoa	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA
C00238	k	potassium	K	1	BiGG compound	k	Potassium cation, K+, Potassium(1+), Potassium ion
C00381	dolichol	Dolichol	C110H180O	0.0	assumed n=18 for the number of isoprene units	dolichol	
C04089	udp4k6dg	UDP-4-keto-6-deoxy-D-glucose	C15H20N2O16P2	-2.0	charge from dbget and similar compounds in BIGG		UDP-4-dehydro-6-deoxy-D-glucose, UDP-4-oxo-6-deoxy-D-glucose
C05402	melib	Melibiose	C12H22O11	0	BiGG compound	melib	6-O-(alpha-D-Galactopyranosyl)-D-glucopyranose, D-Gal-alpha1->6D-Glucose
C05422	dhdascb	Dehydroascorbate	C6H6O6	0	BiGG compound	dhdascb	Dehydroascorbic acid, L-Dehydroascorbate, L-Dehydroascorbic acid
C02988	histrna	L-Histidyl-tRNA(His)	C6H9N3O2R	1.0	tRNA formula in BiGG was modified for mass balance	histrna	
C01649	trnapro	tRNA(Pro)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnapro	
C00064	gln-L	L-Glutamine	C5H10N2O3	0	BiGG compound	gln-L	L-2-Aminoglutaramic acid
CC0152	pepX	Random peptide (special aminoacid carrier)	X	0.0	charge does not matter; random protein that holds special amino acids to be modified or transformed	pepd	
C04635	alken2gpe	1-Alkenylglycerophosphoethanolamine	C5H13NO6PRC2H2	0.0	charge based on MetaCyc		1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine
CC0146	pcollg_diS	Procollagen (with di-Sulfide bridges for registration)	X	0.0	charge does not matter		
C03546	mi4p-D	1D-myo-Inositol 4-phosphate	C6H11O9P	-2	BiGG compound	mi4p-D	myo-Inositol 4-phosphate, D-myo-Inositol 4-phosphate, 1D-myo-Inositol 4-monophosphate, Inositol 4-phosphate
C00054	pap	"Adenosine 3',5'-bisphosphate"	C10H11N5O10P2	-4	BiGG compound	pap	Adenosine 3',5'-bisphosphate, PAP, 3'-Phosphoadenylate, Phosphoadenosine phosphate
C00104	idp	IDP	C10H11N4O11P2	-3	BiGG compound	idp	Inosine 5'-diphosphate, Inosine diphosphate
CC0051	protein_BAC	Protein component of bacterial diet	X	0.0	charge does not matter		
C00182	glycogen	glycogen	C6H10O5	0.0	"bglycogen" in BIGG nomenclature	glycogen	
C00037	gly	Glycine	C2H5NO2	0	BiGG compound	gly	Aminoacetic acid, Gly
C00415	dhf	"7,8-Dihydrofolate"	C19H19N7O6	-2	BiGG compound	dhf	Dihydrofolate, Dihydrofolic acid, 7,8-Dihydrofolate, 7,8-Dihydrofolic acid, 7,8-Dihydropteroylglutamate
C00366	urate	Urate	C5H4N4O3	0	BiGG compound	urate	Uric acid
C00012	pepd	Peptide	C2H4NO2R(C2H2NOR)n	0.0	the difference from BIGG consists of the parentheses and n	pepd	
C00184	dha	Dihydroxyacetone	C3H6O3	0	BiGG compound	dha	Glycerone, 1,3-Dihydroxyacetone, 1,3-Dihydroxy-2-propanone, 1,3-Dihydroxypropan-2-one
C02972	dhlpro	Dihydrolipolprotein	H2S2X	0	BiGG compound	dhlpro	Dihydrolipoylprotein, [H Protein]-dihydrolipoyllysine
C00093	glyc3p	Glycerol 3-phosphate	C3H7O6P	-2	BiGG compound	glyc3p	sn-Glycerol 3-phosphate, Glycerophosphoric acid, D-Glycerol 1-phosphate
C02505	pad	2-Phenylacetamide	C8H9NO	0	BiGG compound	pad	alpha-Phenylacetamide
C04598	paf	Platelet-activating factor	C10H21NO7PRC2H4	0.0	charge based on human version in BiGG		2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine, PAF
C00062	arg-L	L-Arginine	C6H15N4O2	1	BiGG compound	arg-L	(S)-2-Amino-5-guanidinovaleric acid, L-Arg
C03957	pepasp3oh	Peptide 3-hydroxy-L-aspartate	XC4H4NO4	-1.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		
CC0047	dxtrn2	Limited dextrin 2	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
CC0048	dxtrn3	Limited dextrin 3	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
C01651	trnathr	tRNA(Thr)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnathr	
CC0046	dxtrn1	Limited dextrin 1	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
C01794	cholcoa	Choloyl-CoA	C45H70N7O20P3S	-4	BiGG compound	cholcoa	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoyl-CoA, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-one-CoA
C05861	m1mpdol	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol	C138H226N2O27P2	-2.0	assumed n=18 for the number of isoprene units	m1macchitppdol,m1mpdol_L,m1mpdol_U	alpha-D-Mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, alpha-1,3-D-Mannosyl-beta-1,4-D-mannosylchitobiosyldiphosphodolichol, Man-alpha1->3Man-beta1->4GlcNAc-beta1->4GlcNAc-PP-Dol
CC0139	hak2lgchol	1-hydroxyalkyl-2-lyso-sn-glycero-3-phosphocholine	C8H19NO6PRC2H4O	0.0	charge follows from C04317		
C01185	nicrnt	Nicotinate D-ribonucleotide	C11H12NO9P	-2	BiGG compound	nicrnt	beta-Nicotinate D-ribonucleotide, Nicotinate ribonucleotide, Nicotinic acid ribonucleotide
C03232	3php	3-Phosphohydroxypyruvate	C3H2O7P	-3	BiGG compound	3php	3-Phosphonooxypyruvate, 3-Phosphonooxypyruvic acid, 3-Phosphohydroxypyruvic acid
C00083	malcoa	Malonyl-CoA	C24H33N7O19P3S	-5	BiGG compound	malcoa	Malonyl coenzyme A
C02220	amuco	2-Aminomuconate	C6H6NO4	-1	BiGG compound	amuco	2-Aminomuconic acid, o-Aminomuconate
CC0034	nm2masn	(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C42H70N3O30X	0.0	designated as G00014 in KEGG nomenclature	nm2masn	
CC0028	g3m8masn	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C88H147N2O70X	0.0	designated as G00009 in KEGG nomenclature	g3m8masn	
C01172	g6p-B	beta-D-glucose 6-phosphate	C6H11O9P	-2	BiGG compound	g6p-B	
C00668	g6p-A	alpha-D-Glucose 6-phosphate	C6H11O9P	-2.0	charge based on g6p in BiGG	g6p	
C00671	3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	BiGG compound	3mop	(S)-3-Methyl-2-oxopentanoic acid, (3S)-3-Methyl-2-oxopentanoic acid, (3S)-3-Methyl-2-oxopentanoate
CC0149	tropcollgtyr	Tropocollagen L-tyrosine (to be cross-linked)	XH	0.0	charge does not matter		
C00183	val-L	L-Valine	C5H11NO2	0	BiGG compound	val-L	2-Amino-3-methylbutyric acid
C06112	glutrna_gln	L-Glutamyl-tRNA(Gln)	C5H8NO4R	0.0	tRNA formula in BiGG was modified for mass balance	glutrna(gln)	Glu-tRNA(Gln), Glutamyl-tRNA(Gln)
CC0011	2npmhobq	2-Decaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	C53H80O4	0.0	charge based on 2dpmhobq in BIGG	2dpmhobq	
C05100	3uib	3-Ureidoisobutyrate	C5H9N2O3	-1	BiGG compound	3uib	
C00361	dgdp	dGDP	C10H12N5O10P2	-3	BiGG compound	dgdp	2'-Deoxyguanosine 5'-diphosphate
C04823	25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4	BiGG compound	25aics	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole, 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole, 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole, SAICAR
C00269	cdpdag	CDP diacylglycerol 	C12H17N3O11P2FULLRCO2FULLR2CO2	-2.0	charge based on human version in BiGG	cdpdag_hs	CDP-diacylglycerol, CDP-1,2-diacylglycerol, 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
C00708	i	Iodide	I	-1	BiGG compound	i	I-
C04506	protSfarC	Protein C-terminal S-farnesyl-L-cysteine 	C20H33N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		Protein C-terminal S-farnesyl-L-cysteine
C06232	mobd	Molybdate	MoO4	-2	BiGG compound	mobd	
C00272	thbpt	Tetrahydrobiopterin	C9H15N5O3	0	BiGG compound	thbpt	5,6,7,8-Tetrahydrobiopterin, 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone, L-erythro-Tetrahydrobiopterin
CC0108	stcrn	Stearoylcarnitine	C25H49NO4	0.0	charge and formula based on other acyl carnitines	stcrn	
C00378	thm	Thiamin	C12H17N4OS	1	BiGG compound	thm	Thiamine, Vitamin B1, Aneurin, Antiberiberi factor
C00446	gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	BiGG compound	gal1p	alpha-D-Galactopyranose 1-phosphate
CC0063	clpn_BAC	Cardiolipin (bacteria)	C13H16O17P2R4	-2.0	charge is based on matching BiGG compounds	clpn181,clpn180,clpn161,clpn160190,clpn160,clpn141,clpn140,clpn120,clpn_SA,clpn_hs,clpn_HP,clpn_EC	
C00259	arab-L	L-Arabinose	C5H10O5	0	BiGG compound	arab-L	L-Arabinopyranose
C03793	tmlys	N6,N6,N6-Trimethyl-L-lysine	C9H21N2O2	1.0	formula and charge based on MetaCyc	tmlys	
C01134	pan4p	Pantetheine 4'-phosphate	C11H21N2O7PS	-2	BiGG compound	pan4p	4'-Phosphopantetheine, Phosphopantetheine, D-Pantetheine 4'-phosphate
C00206	dadp	dADP	C10H12N5O9P2	-3	BiGG compound	dadp	2'-Deoxyadenosine 5'-diphosphate
C01801	drib	Deoxyribose	C5H10O4	0	BiGG compound	drib	2-Deoxy-D-erythro-pentose, Thyminose, 2-Deoxy-D-ribose
C01636	trnaarg	tRNA(Arg)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaarg	
C00328	Lkynr	L-Kynurenine	C10H12N2O3	0	BiGG compound	Lkynr	3-Anthraniloyl-L-alanine
C01647	trnamet	tRNA(Met)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnamet	
C00123	leu-L	L-Leucine	C6H13NO2	0	BiGG compound	leu-L	2-Amino-4-methylvaleric acid, (2S)-alpha-2-Amino-4-methylvaleric acid, (2S)-alpha-Leucine
C15522	thbpt4acam	Tetrahydrobiopterin-4a-carbinolamine	C9H15N5O4	0	BiGG compound	thbpt4acam	4a-Hydroxytetrahydrobiopterin, 4a-Hydroxy-5,6,4,8-tetrahydrobiopterin, (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin
CC0074	hemeprotein	Hemeprotein	C34H30FeN4O4X	0.0	designed for hypothetical reaction RCC0076; arbitrarily matched with focytC		
